00|-1|Wow this is the first message!
01|-1|Hello everybody!
02|01|Hey there! 
03|01|Nice to meet you!
04|01|Nice meeting you as well, what do you do for a living?
05|01|Oh! I won't be telling you that!
06|-1|Has anyone heard of this new restaurant in town?
07|06|oooh which one?
08|06|It's called "Taco Town" it's awesome!
09|06|Hmm never heard of it, sounds fun!
10|06|Yeah it's definitely a great place for the fam.
11|01|Hey guys!
12|-1|Anyone wanna help me with my homework??
13|08|Oh I live near there! It is soooo nice!
14|13|I'VE tried it and it's disgusting :(
